0.6,0.6,0.7226
0.56823,0.56139,0.7226
0.52057,0.54627,0.7226
0.48024,0.51672,0.7226
0.43247,0.50194,0.7226
0.38458,0.48756,0.7226
0.33606,0.4755,0.7226
0.28609,0.47384,0.7226
0.23609,0.47358,0.7226
0.18682,0.46504,0.7226
0.13712,0.45956,0.7226
0.080187,0.4784,0.7226
0.033571,0.49649,0.7226
-0.013407,0.51361,0.7226
-0.047674,0.55002,0.7226
-0.070858,0.59432,0.7226
-0.098232,0.63616,0.7226
-0.14654,0.64907,0.7226
-0.19654,0.64915,0.7226
-0.24654,0.64925,0.7226
-0.29653,0.64932,0.7226
-0.34652,0.65047,0.7226
-0.39552,0.66044,0.7226
-0.44526,0.66547,0.7226
-0.49525,0.66653,0.7226
-0.53592,0.69562,0.7226
-0.58588,0.69754,0.7226
-0.6,0.7,0.7226
